#,Sample ID,Exposure,Nucleic Acid,Unit,260/280,260/230,Volume (µl),Total RNA,Need RNA-seq TopUp
3,36-1,IC,82.1,ng/µl,2.02,1.9,30,2463,1
5,36-2,FA (DE),52.4,ng/µl,2.01,2.02,30,1572,NA
7,36-3,DE,22.2,ng/µl,1.81,1.6,30,666,NA
10,36-4,FA (WS),19.3,ng/µl,1.9,1.23,30,579,1
12,36-5,WS,46.8,ng/µl,1.95,1.66,30,1404,1
13,135-1,IC,50.4,ng/µl,1.93,1.28,30,1512,NA
15,135-2,FA (DE),28.2,ng/µl,1.88,1.9,30,846,1
17,135-3,DE,13.8,ng/µl,1.79,1.05,30,414,1
19,135-4,FA (WS),3.8,ng/µl,1.36,0.26,30,114,NA
20,135-5,WS,24.3,ng/µl,1.91,1.2,30,729,1
21,67-1,IC,48.6,ng/µl,1.91,1.7,30,1458,NA
22,67-2,FA (DE),30.1,ng/µl,1.9,1.66,30,903,NA
23,67-3,DE,24.2,ng/µl,1.95,1.4,30,726,NA
24,67-4,FA (WS),21.3,ng/µl,1.89,1.43,30,639,NA
25,67-5,WS,33.3,ng/µl,1.87,1.84,30,999,NA
30,61-1,IC,13.6,ng/µl,1.97,1.47,30,408,1
31,61-2,FA (DE),10,ng/µl,2.05,1.56,30,300,1
32,61-3,DE,8.3,ng/µl,2.09,1.14,30,249,1
33,61-4,FA (WS),3.7,ng/µl,2.39,0.39,30,111,1
34,61-5,WS,8.8,ng/µl,2.07,1.09,30,264,1
35,42-1,IC,15.6,ng/µl,2.1,1.82,30,468,1
36,42-2,FA (DE),8.4,ng/µl,2.21,0.86,30,252,NA
37,42-3,DE,15.1,ng/µl,1.99,1.05,30,453,NA
38,42-4,FA (WS),15.1,ng/µl,2.11,1.58,30,453,NA
39,42-5,WS,12.8,ng/µl,1.95,1.28,30,384,NA
40,35-1,IC,18.7,ng/µl,2.04,1.66,30,561,1
41,35-2,FA (DE),14.5,ng/µl,2.06,1.61,30,435,1
42,35-3,DE,10.8,ng/µl,2.02,0.24,30,324,NA
43,35-4,FA (WS),18.4,ng/µl,2.03,1.61,30,552,NA
44,35-5,WS,31.7,ng/µl,1.99,1.22,30,951,NA
